                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4375,                 1.1432,                 1.3788,                0.54576,                0.65083,                0.57744,                0.26584,                 2.0913,                 1.5964,                 1.9927,             0.00057778,             0.00057778,             0.00057778
                     35,                 1.3982,                 1.0719,                 1.3692,                0.76346,                0.59473,                0.65594,                0.31228,                 2.0804,                 1.5692,                 2.0029,             0.00054478,             0.00054478,             0.00054478
                     36,                  1.398,                 1.0684,                 1.3618,                0.75145,                0.61809,                0.60042,                0.29474,                 2.1029,                 1.5346,                 2.0145,             0.00051177,             0.00051177,             0.00051177
                     37,                 1.3654,                 1.0679,                 1.3327,                0.69812,                0.60283,                 0.6093,                0.28857,                 2.0555,                 1.5091,                 1.9929,             0.00047876,             0.00047876,             0.00047876
                     38,                  1.357,                 1.0363,                  1.319,                0.74191,                0.59119,                0.67051,                0.32788,                  1.943,                  1.463,                 1.9005,             0.00044576,             0.00044576,             0.00044576
                     39,                  1.277,                0.94931,                 1.2878,                0.64767,                0.66805,                0.64311,                0.30404,                 2.0082,                 1.5056,                 1.9526,             0.00041275,             0.00041275,             0.00041275
                     40,                 1.3068,                0.98508,                 1.2989,                0.74068,                0.58409,                0.65866,                0.30355,                 1.9579,                 1.4769,                 1.9005,             0.00037974,             0.00037974,             0.00037974
                     41,                 1.2585,                0.89351,                 1.2817,                0.83473,                  0.577,                0.64941,                 0.3081,                  1.989,                 1.5331,                 1.9831,             0.00034674,             0.00034674,             0.00034674
                     42,                 1.2569,                0.87546,                 1.3149,                0.73798,                 0.6231,                  0.672,                0.31314,                 1.9357,                 1.5104,                  1.963,             0.00031373,             0.00031373,             0.00031373
                     43,                 1.2292,                0.85607,                 1.2838,                0.53459,                0.62216,                 0.5056,                0.24079,                 1.9975,                 1.4913,                 2.0186,             0.00028072,             0.00028072,             0.00028072
                     44,                 1.1579,                0.77728,                 1.2213,                0.74794,                0.63104,                0.67189,                0.30382,                 2.0003,                 1.5631,                 2.0103,             0.00024772,             0.00024772,             0.00024772
                     45,                 1.1972,                  0.829,                 1.2709,                0.69151,                0.61224,                0.63051,                0.32479,                 1.9518,                 1.5211,                  1.964,             0.00021471,             0.00021471,             0.00021471
                     46,                 1.1335,                0.75485,                 1.2169,                0.90564,                0.50321,                0.64626,                  0.298,                 2.0093,                 1.6005,                 2.0311,              0.0001817,              0.0001817,              0.0001817
                     47,                 1.1259,                0.75228,                 1.2125,                0.70827,                0.60907,                0.64758,                0.27679,                  2.027,                 1.6282,                 2.0185,              0.0001487,              0.0001487,              0.0001487
                     48,                 1.0779,                0.71544,                 1.1904,                0.72563,                0.62369,                 0.6465,                0.30576,                 2.0361,                 1.5828,                 2.0293,             0.00011569,             0.00011569,             0.00011569
                     49,                 1.0686,                0.70899,                 1.1798,                0.70481,                0.63014,                0.65631,                0.32216,                 1.9962,                 1.5613,                 2.0024,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                 1.0288,                0.69418,                 1.1541,                0.67782,                0.69407,                0.68628,                0.32682,                 1.9805,                  1.535,                 2.0012,             4.9677e-05,             4.9677e-05,             4.9677e-05
